Product Name,Short Description,Price
Pendant Kritpu,14K White Gold & Diamond,$869.00
Pendant Sonny,14K White Gold & Diamond,"$1,182.00"
Pendant Jumpro,14K Yellow Gold & Diamond,$647.00
Pendant Occupant,14K White Gold & Diamond,$940.00
Necklace Galactica,14K Yellow Gold & Lab Grown Diamond,$416.00
Pendant Paragrafon,14K White Gold & Ruby,$746.00
Pendant Nitva,14K Rose Gold & Diamond,$561.00
Necklace Pari,14K Yellow Gold & Diamond,$679.00
Pendant Amicizia,14K Yellow Gold & Diamond,$876.00
Pendant Esselina,14K White Gold & Diamond,"$1,297.00"
Pendant Faunus,14K White Gold & Moissanite,$857.00
Pendant Sucre,14K White Gold & Diamond,$673.00
Pendant Diacid,14K Rose & White Gold & Diamond,"$1,596.00"
Pendant Vannes,14K Yellow Gold & Lab Grown Diamond,$535.00
Pendant Pearly Ø8 mm,14K White Gold & Diamond & White Pearl,$592.00
Pendant Atavism,14K Yellow Gold & Diamond,"$1,003.00"
Pendant Psyna - M,14K White Gold & Lab Grown Diamond,$629.00
Pendant Anomop,14K Yellow Gold & Emerald,$399.00
Necklace Velours,14K White Gold & Lab Grown Diamond,$763.00
Necklace Lumpler,14K Yellow Gold & Lab Grown Diamond & White Pearl,$303.00
Necklace Agonal,14K White Gold & Moissanite,"$1,025.00"
Pendant Unallegedly,14K Yellow Gold & Diamond,"$29,826.00"
Pendant Paiva Ø8 mm,14K Yellow Gold & Diamond & White Pearl,$492.00
Pendant Levni,14K White Gold & Emerald,$544.00
Pendant Tessalin,14K White Gold & Diamond,"$2,883.00"
Necklace Cielo,14K White Gold & Diamond,"$2,387.00"
Pendant Estied,14K White Gold & Diamond,$462.00
Pendant Keith,14K White Gold & Diamond,$701.00
Pendant Albina,14K White Gold & Aquamarine,$913.00
Pendant Enginedas,14K Yellow Gold & Emerald,$638.00
Pendant Macy,14K White Gold & Lab Grown Diamond,$575.00
Necklace Audrisa,14K White Gold & Diamond,"$12,360.00"
Necklace Zarita,14K White Gold & Diamond,"$1,005.00"
Pendant Cantella,14K Yellow Gold & Diamond,$977.00
Pendant Idelia,14K Yellow Gold & Diamond,"$2,815.00"
Pendant Alyssa,14K Yellow Gold & Diamond,$798.00
Pendant Aygen,14K White Gold & Diamond,"$2,282.00"
Pendant Fide,14K Yellow Gold & Lab Grown Diamond,$672.00
Necklace Achievable,14K Yellow Gold & Lab Grown Diamond,$574.00
Necklace Henna,14K White Gold & Diamond,"$1,570.00"
Pendant Adara,14K White Gold & Diamond,"$2,143.00"
Pendant Sorenson,14K Yellow Gold & Black Opal,$419.00
Pendant Concetta,14K Yellow Gold & Emerald,$584.00
Pendant Compoo,14K Yellow Gold & Moissanite,$348.00
Pendant Eartha,14K White Gold & Diamond,$621.00
Pendant Mignon,14K White Gold & Diamond,"$4,516.00"
Necklace Sylenad,14K White Gold & Diamond,"$1,003.00"
Pendant Fairy,14K White Gold & Diamond,$600.00
Pendant Mazhira,14K Yellow Gold & Emerald,"$1,329.00"
Pendant Albertine,14K Yellow Gold & Garnet,$475.00
Pendant Fayanna,14K White Gold & Diamond,"$9,753.00"
Women's Choker Necklace Filipha,14K Yellow Gold & Lab Grown Diamond,$453.00
Women's Necklace Mulhouse,14K Yellow Gold with Black Rhodium & Brown Diamond & White Sapphire,"$1,170.00"
Pendant Jhaddeus,14K Yellow Gold & Diamond,$753.00
Pendant Maghunars,14K Yellow Gold & Diamond,$388.00
Pendant Swatch,14K Yellow Gold & Diamond,$683.00
Necklace Forbye,14K Yellow Gold & Diamond,$443.00
Pendant Bavardage,14K Yellow Gold & Pink Sapphire,$367.00
Pendant Rupena,14K Rose Gold & Moissanite,$782.00
Necklace Farah,14K White Gold & Moissanite,$842.00
Pendant Valeri,14K Rose Gold & Diamond,"$1,064.00"
Pendant Purpe,14K Yellow Gold & Diamond,$727.00
Pendant Despina,14K Yellow & White Gold & Diamond,$599.00
Pendant Eberta,14K White Gold & Diamond,$759.00
Pendant Dulcinia,14K Yellow Gold & Diamond,"$4,654.00"
Pendant Lodyma,14K White Gold & Diamond,$630.00
Pendant Margid,14K White Gold & White Pearl,$415.00
Pendant Beracha,14K Rose Gold & Pink Sapphire,$479.00
Pendant Christen,14K Yellow Gold & Diamond,$942.00
Pendant Apropos,14K White Gold & Swarovski Crystal,$971.00
Necklace Divertimento,14K Yellow Gold & White Pearl,$447.00
Necklace Brandie - Virgo,14K White Gold & Sapphire,$500.00
Pendant Harelda,14K Yellow Gold & Swarovski Crystal,$812.00
Pendant Inessa,14K Yellow Gold & Diamond,$656.00
Pendant Elois,14K Yellow Gold & Diamond,$517.00
Pendant Cotapleat,14K Yellow Gold & Diamond,$372.00
Pendant Angela,14K White Gold & Lab Grown Diamond,$496.00
Necklace Paora,14K White Gold & Blue Diamond,$506.00
Pendant Outen 2.15 crt,14K Yellow Gold & Moissanite,$856.00
Pendant Aceline,14K White Gold & Diamond,$494.00
Pendant Ezekielie,14K Yellow Gold & Emerald & Moissanite,"$1,167.00"
Pendant Azura,14K White Gold & Lab Grown Diamond,"$1,072.00"
Pendant Accius,14K White Gold & Moissanite,"$1,261.00"
Necklace Ozean,14K Yellow Gold & Lab Grown Diamond & White Pearl,$397.00
Necklace Telema,14K White & Rose Gold & Black Diamond,$474.00
Pendant Dajana,14K White Gold & Diamond,"$12,283.00"
Pendant Tadweans,14K Yellow Gold & Diamond,$441.00
Necklace Kanasia Ø8 mm,14K Rose Gold & Diamond & Rose Pearl,$830.00
Pendant Seshesh,14K Yellow Gold & Lab Grown Diamond,$304.00
Pendant Melpomene,14K White Gold & Lab Grown Diamond,$776.00
Necklace Yellun,14K Yellow Gold & Moissanite & White Pearl,"$1,069.00"
Pendant Blowlamp,14K Yellow Gold & Diamond,$813.00
Pendant Calasia,14K Rose Gold & Diamond,"$2,053.00"
Pendant Omma,14K Yellow Gold & Moissanite,$559.00
Pendant Maiya Ø8 mm,14K Rose Gold & Diamond & Rose Pearl,$688.00
Necklace Conwell,14K White Gold & Amethyst,$620.00
Pendant Dupont,14K Rose Gold & Moissanite,$729.00
Pendant Kelsi,14K Rose Gold & Moissanite,$957.00
Necklace Dorthula,14K White Gold & Swarovski Crystal,"$1,045.00"
Necklace Dorie,14K Yellow Gold & Diamond,$661.00
Necklace Kaja,14K Yellow Gold & Emerald,$572.00
Necklace Iselin,14K Yellow Gold & Ruby & Moissanite,"$1,094.00"
Pendant Lata - D,14K White Gold & Emerald,$457.00
Pendant Kris,14K Rose Gold & Diamond,"$1,291.00"
Pendant Loyal Ø8 mm,14K White Gold & Diamond & White Pearl,$625.00
Pendant Lea,14K Yellow Gold & Diamond,"$5,283.00"
Pendant Gelsomino,14K Yellow Gold & Diamond,"$5,078.00"
Pendant Ingle,14K Yellow & White Gold & Diamond,$435.00
Pendant Interstellar,14K Rose Gold & Diamond,$537.00
Pendant Vitionse,14K Yellow Gold & Moissanite,$631.00
Pendant Daiki,14K White Gold & Diamond,"$1,367.00"
Pendant Eider,14K Yellow Gold & Amethyst & Moissanite,$931.00
Necklace Drucilla A,14K Rose Gold & Diamond,$548.00
Pendant Pranta,14K Yellow Gold & Diamond,"$5,840.00"
Pendant Cinneididh,14K White Gold & Ruby,$446.00
Pendant Carinli,14K White Gold & Diamond,$677.00
Necklace Rideout,14K White Gold & Diamond,"$1,564.00"
Pendant Dustu,14K White Gold & Diamond,"$1,531.00"
Necklace Akujan,14K Yellow Gold & Moissanite,$442.00
SYLVIE Pendant Mabuhay - G,14K Rose Gold & Diamond,$655.00
Pendant Cerises,14K White Gold & Lab Grown Diamond,"$2,479.00"
Pendant Gleaning,14K Yellow Gold & Diamond,$666.00
Necklace Stubs,14K Yellow Gold & Lab Grown Diamond,$430.00
Pendant Paviotso,14K Yellow Gold & Moissanite,$439.00
Necklace Balzer,14K Yellow Gold & Diamond,"$2,455.00"
Pendant Parietal,14K Yellow Gold & Diamond,"$2,903.00"
Pendant Epps,14K Yellow Gold & Diamond,$693.00
Pendant Sinobia,14K Rose Gold & Tanzanite,"$3,350.00"
Necklace Alkurah,14K Yellow Gold & Diamond,$539.00
Pendant Mathilda,14K White & Yellow Gold  & Black Diamond,$564.00
Pendant Herlimes,14K Yellow Gold & Lab Grown Diamond,"$1,810.00"
Pendant Maiya Ø10 mm,14K Yellow Gold & Diamond & White Pearl,$870.00
Pendant Sheldon,14K White Gold & Diamond,$663.00
Necklace Poelon,14K Yellow Gold & Moissanite & Swarovski Crystal,$519.00
Pendant Maqu,14K White Gold & Lab Grown Diamond,$407.00
Pendant Attempa,14K Yellow Gold & Moissanite,$385.00
Pendant Caressant,14K Yellow Gold & Diamond,$759.00
Necklace Suzette,14K White Gold & Diamond,$991.00
Pendant Picotte,14K Yellow Gold & Lab Grown Diamond,"$1,666.00"
Pendant Felica,14K Yellow Gold & Diamond,$720.00
Pendant Sowbacc,14K Yellow Gold & Pink Sapphire,$382.00
Pendant Impha,14K Rose Gold & Diamond,$696.00
Pendant Zorn,14K Rose Gold & Ruby,"$2,012.00"
Pendant Sanne,14K Yellow Gold & Diamond,"$4,977.00"
Pendant Ling,14K White Gold & Lab Grown Diamond,"$1,071.00"
Pendant Gracielli,14K White Gold & Diamond,"$1,391.00"
Pendant Jagsam,14K Yellow Gold & Lab Grown Diamond,$561.00
Pendant Aigremont,14K White Gold & Lab Grown Diamond,"$1,749.00"
Pendant Hagen,14K White Gold & Pink Sapphire,$980.00
Pendant Elkan,14K White Gold & Pink Sapphire & Swarovski Crystal,$628.00
Necklace Acouchi,14K Rose Gold & Emerald,$849.00
Necklace Veach,14K Rose Gold & Lab Grown Diamond,$495.00
Pendant Lene,14K White Gold & Blue Topaz & Swarovski Crystal,"$1,317.00"
Necklace Pidgey,14K White Gold & Diamond,"$2,015.00"
Necklace Glitzernd,14K Rose Gold & Moissanite,$795.00
Pendant Delisa,14K White & Rose Gold & Pink Sapphire,$986.00
Pendant Liossa,14K White Gold & Diamond,$457.00
Pendant Aigueperse,14K Yellow Gold & Garnet,$688.00
Pendant Swin - Aries,14K White & Yellow Gold  & Lab Grown Diamond,$519.00
Necklace Drucilla S,14K Yellow Gold & Diamond,$561.00
Pendant Estelita,14K Yellow Gold & Diamond,$907.00
Pendant Cebrina,14K Yellow Gold & Diamond,"$8,288.00"
Pendant Neidelin,14K White Gold & Diamond,"$3,276.00"
Pendant Lored,14K White Gold & Moissanite,$616.00
Necklace Welsh,14K Rose Gold & Lab Grown Diamond,"$1,082.00"
Necklace Similarity,14K Yellow Gold & Ruby & Lab Grown Diamond,$660.00
Necklace Raynita,14K White Gold & Moissanite,"$1,057.00"
SYLVIE Paperclip Necklace Shway,14K Yellow Gold & Lab Grown Diamond,"$2,195.00"
Pendant Enfance,14K White Gold & Moissanite,$562.00
Necklace Hayward,14K Yellow Gold & Rose Quartz,$493.00
Pendant Outen,14K Yellow Gold & Emerald,"$2,017.00"
Pendant Pomeriggio,14K White Gold & Ruby,$438.00
Pendant Onalitonas,14K Rose Gold & Moissanite & White Pearl,$515.00
Pendant Stano,14K Yellow Gold & Diamond,"$6,134.00"
Pendant Manger,14K Rose Gold & Ruby,$357.00
Pendant Sahmaria,14K White Gold & Peridot,$662.00
Pendant Gordana,14K Yellow Gold & Diamond,$845.00
Pendant Aiello,14K Yellow Gold & Diamond,$629.00
Pendant Wamus,14K White Gold & Diamond,$413.00
Pendant Imogen,14K White Gold & Blue Topaz,$419.00
Pendant Pirouette,14K Yellow Gold & Aquamarine,$433.00
Pendant Indraft,14K Yellow Gold & Diamond,"$7,747.00"
Pendant Kuros,14K White Gold & Diamond,$735.00
Pendant Couinera,14K Rose Gold & Diamond,$626.00
Pendant Paiva Ø6 mm,14K White Gold & Diamond & White Pearl,$461.00
Pendant Peleng,14K White Gold & Diamond,"$1,012.00"
Pendant Abusage,14K White Gold & Black Onyx & Swarovski Crystal,$964.00
Pendant Sault,14K Yellow Gold & Ruby,$997.00
Pendant Kalypso,14K Yellow Gold & Black Onyx & Swarovski Crystal,$579.00
Pendant Yanira,14K Yellow Gold & Diamond,$719.00
Necklace Klea,14K White Gold & Ruby,$548.00
Pendant Eliska,14K Yellow Gold & Ruby,$809.00
Pendant Gilda,14K White Gold & Ruby,$500.00
Pendant Erianidro,14K White Gold & Diamond,$651.00
Pendant Juta,14K Rose Gold & Ruby,$415.00
Pendant Weisshorn,14K White Gold & Moissanite,$390.00
Pendant Edna,14K White Gold & Diamond,"$2,548.00"
Pendant A,14K Yellow Gold & Diamond,$567.00
Pendant Hobby,14K White Gold & Lab Grown Diamond,$611.00
Pendant Endessous - Cancer,14K Yellow Gold & Diamond,$794.00
Pendant Querteira,14K Yellow Gold & Lab Grown Diamond,$479.00
Pendant Anilie,14K Yellow Gold & Pink Tourmaline,$469.00
Pendant Reneer,14K Rose Gold & Lab Grown Diamond,$912.00
Necklace Arti,14K Rose Gold & Diamond,"$3,255.00"
Pendant Fabresa,14K Yellow Gold & Diamond,$418.00
Necklace Pepelexa,14K Yellow Gold & Black Diamond,$467.00
Pendant Corvettes,14K White Gold & Blue Diamond,$968.00
Necklace Osanna,14K White Gold & Diamond,$957.00
Pendant Lisa,14K Yellow Gold & Diamond,$456.00
Pendant Yrrevo,14K Yellow Gold & Moissanite,$510.00
Pendant Pernek,14K White Gold & Black Pearl,$318.00
Pendant Syrico,14K White Gold & Diamond,$841.00
Pendant Bircha,14K Rose Gold & Lab Grown Diamond,$986.00
Pendant Prected,14K White Gold & Black Diamond,$626.00
Pendant Camembert,14K White Gold & Moissanite,$742.00
Pendant Blanchar,14K Rose Gold & Ruby,$512.00
Pendant Hilde,14K Yellow Gold & Diamond,$878.00
Pendant Fornire,14K White Gold & Emerald,$332.00
Pendant Sarhujans,14K Yellow Gold & Diamond,$371.00
Pendant Kamoore Ø8 mm,14K White Gold & Lab Grown Diamond & Black Pearl,$418.00
Pendant Heloise,14K Yellow Gold & Diamond,"$3,759.00"
Pendant Zencen,14K Yellow Gold & Moissanite,$514.00
Pendant Musfaro,14K Yellow Gold & Diamond,$443.00
Necklace Sheet,14K Yellow Gold & Diamond,$683.00
Necklace Bedelia,14K Yellow Gold & Diamond,$827.00
Pendant Annsi,14K White Gold & Diamond,$626.00
Pendant Weida,14K White Gold & Sapphire,$380.00
Pendant Ajjayre,14K Yellow Gold & Moissanite,$548.00
Paperclip Necklace Famoso,14K Yellow Gold & Emerald,"$2,316.00"
Pendant Aiserey,14K Rose Gold & Mystic Topaz,$687.00
Pendant Araxie,14K Yellow Gold & Diamond,$628.00
Pendant Gabite,14K Yellow Gold & Lab Grown Diamond,$644.00
Pendant Ranjana,14K Yellow Gold & Diamond,"$1,391.00"
Pendant Puget,14K Yellow Gold & Diamond,$994.00
Pendant Frai,14K White Gold & Diamond,$790.00
Pendant Sissie,14K White Gold & Diamond,$437.00
Pendant Pacifier,14K White Gold & Emerald,$516.00
Pendant Salinas,14K White Gold & Aquamarine,$535.00
Pendant Helga,14K White Gold & Diamond,$785.00
Necklace Ilenn,14K Yellow Gold & Diamond,$824.00
Pendant Gosford,14K White Gold & Diamond,$379.00
Pendant Indira,14K White Gold & Green Diamond,$446.00
Pendant Samariel,14K White Gold & Diamond,"$1,988.00"
Pendant Ahelia,14K Yellow Gold & Diamond,$688.00
Pendant Vestal,14K Yellow Gold & Ruby,$603.00
Pendant Morobe,14K Rose Gold & Diamond,$614.00
Pendant Tiericka,14K Rose Gold & Diamond,$785.00
Pendant Lucie,14K Yellow Gold & Diamond,"$1,075.00"
Pendant Necole,14K White Gold & Sapphire,$403.00
Pendant Quad,14K Yellow Gold & Diamond,"$29,657.00"
Pendant Hagano,14K Rose Gold & Diamond,"$3,727.00"
Pendant Parola,14K White Gold & Blue Diamond,$457.00
Pendant Asta,14K Yellow Gold & Moissanite,$614.00
Pendant Waist,14K White Gold & Diamond,$911.00
Necklace Eonstar,14K White Gold & Emerald,"$1,110.00"
Necklace Harville,14K Rose Gold & Diamond,$369.00
Necklace Nicanora,14K White Gold & Moissanite,"$1,241.00"
Pendant Annas,14K White Gold & Peridot,$456.00
Pendant Bassinoire,14K Yellow Gold & Pink Sapphire,$438.00
Pendant Caitly,14K Rose Gold & Blue Diamond,$452.00
Pendant Crayon,14K Yellow Gold & Diamond,$679.00
Pendant Marcassin,14K White & Rose Gold & Black Onyx,$616.00
Pendant Tisza,14K Rose Gold & Diamond,$527.00
Pendant Targent,14K White Gold & Pink Sapphire,$388.00
Pendant Citpoteb,14K White Gold & Aquamarine,$462.00
Necklace Abstran,14K White Gold & Black Diamond,"$1,038.00"
SYLVIE Paperclip Necklace Urrea,14K Yellow Gold & Lab Grown Diamond,"$1,458.00"
Pendant Luis,14K Rose Gold & Moissanite,$651.00
Pendant Gonabilano,14K White Gold & Lab Grown Diamond,$502.00
Pendant Endle,14K Yellow Gold & Diamond,$929.00
Pendant Sidania,14K Rose & White Gold & Diamond,$544.00
Pendant Ahiezer,14K Yellow Gold & Emerald,$510.00
Pendant Barth,14K Rose Gold & Diamond,"$1,609.00"
Pendant Experience,14K White Gold & Lab Grown Diamond & White Pearl,"$1,318.00"
Necklace Cristinega,14K White Gold & Lab Grown Diamond,$709.00
Pendant Stagione,14K Yellow Gold & Ruby,$626.00
Pendant Pearly Ø4 mm,14K White Gold & Diamond & White Pearl,$375.00
Women's Pendant Ymbres,14K Yellow Gold & Moissanite,$447.00
Pendant Jolyn Pisces,14K White Gold & Lab Grown Diamond,$636.00
Pendant Paiva Ø10 mm,14K White Gold & Diamond & White Pearl,$658.00
Pendant Linen,14K Yellow Gold & Green Diamond,$374.00
Pendant Orleans,14K Yellow Gold & Lab Grown Diamond,$520.00
Pendant Pansy,14K Yellow Gold & Diamond,$730.00
Pendant Torima,14K Rose Gold & Diamond,"$1,466.00"
Pendant Margid Ø4 mm,14K White Gold & White Pearl,$332.00
Pendant Converga,14K White Gold & Diamond,$393.00
Pendant Pantelant,14K Yellow Gold & Moissanite,$509.00
Necklace China,14K Yellow Gold & Ruby,$548.00
Pendant Nantale,14K Yellow Gold & Rose Quartz & Swarovski Crystal,$426.00
Necklace Zuria,14K Yellow Gold & Lab Grown Diamond & White Pearl,$864.00
Pendant Quito,14K White Gold & White Pearl,$433.00
Pendant Niger,14K White Gold & Ruby,$568.00
Pendant Aydases - Libra,14K Yellow Gold & Diamond,$516.00
Pendant Annitaliq,14K White Gold & Diamond,$645.00
